Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t67,0.0,-857.3083478223998,-2.311341468400504e-5,1.7832146753685228e-5,1891.2079824506945,-999.9999154191523,1299.9998847417942,-587.4071594886204,804.6979005158074,4299.999646621826,-1509.999955879735,1266.2870050048723,2162.9170792955433,2078.9242928327017,0.0002075417505361357,-116.15889641008663,-599.999952588657
t68,0.0,-681.3140447602608,-3.0307880412068187e-5,7.455771942316451e-6,1896.8381801634973,-999.9999186415253,1299.9998736818893,-616.3234255474812,2639.2503669035304,4299.999601874813,-1509.99995335259,3243.472706081931,4698.8517752707885,1479.7880925183554,0.00015020457862376083,-745.9521302600624,-599.9999509531793
t69,0.0,7.221466295353702e-5,0.00016013240961291705,197.36959895332276,1911.0399176904612,-999.9999223777356,1299.9992977004654,-583.4145292946084,615.6856278498313,4299.999627389034,-1509.9999431609356,1530.6383654727465,2468.6553446020444,2018.3794137241068,0.00020967242641811772,0.0004149885204376622,-599.9999516555135
t70,0.0,0.0003636014940342063,830.2497737330744,759.9996806111404,1900.503973645444,-999.9999231352174,1299.9992687054562,-540.5353675188334,487.9400375660024,4299.999620574442,-1509.9999429329225,750.3845580747649,3053.6934103334625,1469.471578572782,0.00019858171390129371,0.0005109640652736012,-599.9999516259849
t71,0.0,0.00036596637661135165,825.214361089659,759.9996846603759,1925.5472374800215,-999.9999239320564,1299.9992355077409,-507.49212531151824,470.0528248497579,4299.99962433644,-1509.9999433151252,753.0312920776007,3053.687941705378,1476.2432233693398,0.00020262260789265046,0.0006009836297295314,-599.9999515332617
t72,0.0,0.00035684749810422896,292.8503005356093,759.9996974052174,1903.4444779928897,-999.9999205742484,1299.9992642057039,-476.3720042590772,398.1238789524791,4299.999633519537,-1509.999943037449,660.4815636920819,2340.3342631590963,1528.8549182524027,0.00021343047320613557,0.0007860878208608384,-599.9999515094922
t73,0.0,0.0003556348636598717,119.73912282042873,759.9996971367153,1863.109405295066,-999.9999202094024,1177.8659845898344,-423.1490476869791,270.20760592192346,4299.999633913599,-1509.9999375975683,509.91036647344214,2033.185276572473,1538.1417268584257,0.00022603586202219448,39.6327176832241,-599.9999513070898
t74,0.0,0.0003545945643862702,221.79421472966564,759.999701752801,1877.7110615364486,-999.999918531297,1226.0342986420535,-409.25434667874396,389.5539066052631,4299.999634820766,-1509.9999342276878,699.8687202312815,1530.668525227648,2461.4750835249474,0.000560056410366439,1089.5425141734786,-599.9999501587087
t75,0.0,0.00033557642398915366,336.08767454190956,759.9996951627121,1902.416699126869,-999.9999119698691,1298.6509263739738,-401.14747277190827,436.8386134146942,4299.999643267144,-1509.9999362242675,783.3595374691786,1709.46496234565,2510.78934188108,0.0002629967476382563,1263.1874994019092,-599.9999505583473
t76,0.0,291.0709528107777,856.8572859151365,759.999780515372,1858.8575066842707,-962.7025845601174,1299.9999316211513,-441.16992879366967,564.8138857105974,4299.999635576598,-1509.9999370757953,1283.987167122484,2960.6203460435104,2435.709770521079,0.0002213661854684965,1277.2961117849773,-599.9999506929554
