Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,120,12012,12522,19370,24703,17495,20518,11049,18190,24249,26755,9540,8597,12938,12995,35152,36432,10255,7722,4860,12663,25571,24746,26723,14428,41306,1884
,,,,,,,,121,11481,11852,18331,24086,16536,19642,10387,17223,22761,25670,8809,7946,12079,12464,33191,34869,9606,7258,4504,11977,25473,24460,26402,13482,38670,1768
,,,,,,,,122,10802,10870,16808,24204,15768,19184,10017,16765,21922,23826,8274,7457,11610,12272,32394,34183,9154,7030,4319,11517,25667,24525,26528,12668,36850,1688
,,,,,,,,123,10402,10005,15465,24608,15449,18936,9822,16556,21438,22280,7932,7161,11282,12254,31945,33797,8913,6949,4255,11320,26131,24717,26974,12185,36139,1665
,,,,,,,,124,10201,9525,14718,25855,15253,18934,9727,16549,21233,21751,7775,7000,11170,12265,32128,33808,8913,6936,4252,11286,27176,25314,28033,12085,35921,1661
,,,,,,,,125,10193,9206,14226,28722,15314,19331,9835,16660,21402,21620,7709,6916,11221,12641,32866,34641,9085,7073,4317,11352,29207,26494,30030,12173,36328,1688
,,,,,,,,126,10262,9051,13991,33146,15719,20141,10301,17381,22186,21740,7834,6994,11485,13508,35175,36800,9126,7360,4517,11668,32646,28778,33335,12384,37528,1754
,,,,,,,,127,10451,9119,14097,35438,18916,21944,11353,18800,24164,22388,8589,7512,12338,14752,39768,40606,9248,7974,4909,12464,34214,31013,35680,12980,40548,1901
,,,,,,,,128,10924,9441,14595,34210,23413,23672,12340,20335,26853,23767,9532,8384,13840,15247,41578,42617,9661,8836,5494,13634,32889,30760,35079,14121,45874,2174
,,,,,,,,129,11867,10198,15767,32022,23716,23589,12519,20402,28144,26143,10001,8930,14319,14799,40466,41584,10403,9120,5820,14083,30271,28893,33053,15645,46995,2213
,,,,,,,,130,12630,11528,17839,29573,22743,22735,12439,19737,27745,29807,9857,8967,14134,14282,38788,40115,10753,8888,5728,13760,27715,27115,30910,15920,45310,2112
,,,,,,,,131,12726,11874,18370,28000,21773,22095,12481,19138,27579,30709,9857,8965,13915,13562,37870,39277,10791,8680,5580,13544,25999,25676,28983,15468,44105,2028
