Zone,value,zone,planning_year,model,agg_zone,case
20,2.0103160880966877,SPPS,2040,TEMOA,SPP,full-base-200
21,2.116546245045248,SRCA,2040,TEMOA,SOU,full-base-200
22,2.050782955792072,SRCE,2040,TEMOA,MISO,full-base-200
23,2.019670666093094,SRSE,2040,TEMOA,SOU,full-base-200
24,2.168583483302561,SRSG,2040,TEMOA,WECC,full-base-200
25,1.9758313924078312,TRE,2040,TEMOA,TRE,full-base-200
26,2.3070115533501148,TREW,2040,TEMOA,TRE,full-base-200
1,1213.6676915742848,BASN,2045,TEMOA,WECC,full-base-200
2,2.3755791098308854,CANO,2045,TEMOA,CA,full-base-200
3,2.301396296075783,CASO,2045,TEMOA,CA,full-base-200
