Zone,1,2,3,4,5,6,7,8,9,10,11
t72,-6.270683889954629e-10,-6.099105291155363e-9,-8.087826329157372e-9,-4.01026251514253e-9,-3.980350889024946e-8,-6.571219969182544e-9,-3.743927723050954e-9,-1.127558403892924e-9,-3.052555616094316e-9,-5.156871295295924e-10,-1.5979330368172886e-10
t73,-6.847536471626403e-10,-6.482303514031461e-9,-8.640297349261837e-9,-4.267596338890661e-9,-4.272381410502987e-8,-7.01440167316611e-9,-3.97016723974359e-9,-1.1908075519388814e-9,-3.244644406538983e-9,-5.46765559699709e-10,-1.7038751341273304e-10
t74,-7.397527632922195e-10,-6.90628216738198e-9,-9.240762734877816e-9,-4.554428819938967e-9,-4.555353867451491e-8,-7.492335435263722e-9,-4.221054681524508e-9,-1.2593843719114964e-9,-3.4549150560712157e-9,-5.693613766700588e-10,-1.7713473006646948e-10
t75,-7.658103782995565e-10,-7.179687002295293e-9,-9.628062427760082e-9,-4.736006812970975e-9,-4.7552130237041386e-8,-7.805681114318263e-9,-4.373552098558719e-9,-1.3021600139258825e-9,-3.5864211236469146e-9,-5.749808285072281e-10,-1.7905528558694264e-10
t76,-7.841455889292025e-10,-7.362017714109115e-9,-9.890498361088773e-9,-4.8610665100857174e-9,-4.908397348109757e-8,-8.023129966260539e-9,-4.4844171723797475e-9,-1.3329455573731909e-9,-3.6786833652483134e-9,-5.747236072330081e-10,-1.7911112741150734e-10
t77,-7.934321688986352e-10,-7.484085227234722e-9,-1.0061984352086853e-8,-4.942786684882503e-9,-5.0036940606389736e-8,-8.164023378712223e-9,-4.55433898379632e-9,-1.3520701093948336e-9,-3.7377408219404084e-9,-5.717401094384945e-10,-1.7782525716556342e-10
t78,-7.862707931029925e-10,-7.500462037326716e-9,-1.0080868509204332e-8,-4.954923370863039e-9,-5.005014564427169e-8,-8.175936591441886e-9,-4.5630145231336946e-9,-1.3548413880300132e-9,-3.746448353185738e-9,-5.583031863745722e-10,-1.7283887573094133e-10
t79,-8.450739604504533e-10,-8.53604095817798e-9,-1.087441546919343e-8,-5.996106490926718e-9,-4.299156966361888e-8,-9.15288555418024e-9,-5.495429617284838e-9,-1.5897961481767416e-9,-4.674875322808387e-9,-6.077048562940827e-10,-1.5156602542129764e-10
t80,-7.33283855661583e-10,-7.26052472129406e-9,-9.605491007646827e-9,-4.875440766605634e-9,-4.617691723170771e-8,-7.858435891733494e-9,-4.423143943837431e-9,-1.3175110326748446e-9,-3.737891012933926e-9,-6.148625893504231e-10,-1.5539568976813738e-10
t81,-6.969927578063915e-10,-8.167229163596567e-9,-1.0392937136145856e-8,-5.732194348244555e-9,-4.080326185829742e-8,-8.735286594075213e-9,-5.249577011876408e-9,-1.5118341226621688e-9,-4.479608434492408e-9,-5.906005248976664e-10,-1.4935701512432104e-10
t82,-6.435309340572218e-10,-6.62875461729092e-9,-8.838925726555725e-9,-4.367278410439259e-9,-4.375920392988166e-8,-7.18113656574546e-9,-4.049348366619513e-9,-1.2153790894248757e-9,-3.304493275222683e-9,-4.899339120118642e-10,-1.4895558281629354e-10
