Constraint,CapRes_1,CapRes_2,CapRes_3
t167,2.80316129011598e-10,2.639590763417145e-10,5.015124933140365e-11
t168,2.1159255924683817e-10,2.3397744238975366e-10,4.1178985685135945e-11
t169,1.5791447718432902e-10,3.1761689618733883e-10,3.7495523082577505e-11
t170,1.6079651207993111e-10,2.0326965579355968e-10,3.375578394268968e-11
t171,1.561102679687566e-10,2.5945962771068223e-10,3.4018422770595703e-11
t172,2.7820195966048245e-10,3.025832112549063e-10,3.496450364123607e-11
t173,1.4916879134977218e-10,1.9520292550662345e-10,4.8824694524916126e-11
t174,1.7117220648743958e-10,2.917389297437895e-10,3.703105619663709e-11
t175,1.789117510409379e-10,2.5670067550014515e-10,3.0302192746205815e-11
t176,1.745486637801179e-10,1.9120163990849393e-10,3.006738668962747e-11
t177,1.8519262185929845e-10,3.4736449938693304e-10,2.5745934581564536e-11
t178,1.9075132194527015e-10,3.118154131214608e-10,2.5838738359218497e-11
t179,1.9968868940248222e-10,2.3855120155335367e-10,2.558312795567827e-11
t180,2.453378438531079e-10,1.782653057452364e-10,2.5929517070434452e-11
t181,2.1905429906261676e-10,1.7776931745553533e-10,2.6272859689125564e-11
t182,2.0233392029723079e-10,1.5074591185802292e-10,2.6442301390261023e-11
t183,1.9373138980035275e-10,1.4873079116193902e-10,2.677259435347556e-11
t184,2.0849069857621484e-10,1.5087352500808688e-10,2.763015112094635e-11
t185,2.425128107258913e-10,1.519334786613111e-10,3.1461900200656573e-11
t186,2.305089322891068e-10,1.6327761773101915e-10,3.5023903922247204e-11
t187,1.9069904662538864e-10,2.631477182633526e-10,3.672153874579608e-11
t188,1.977186947420068e-10,4.2241387774035733e-10,5.761625780333236e-11
t189,1.9255428400319378e-10,2.7350854804656477e-10,5.690002934117609e-11
t190,1.904565446285327e-10,2.651131469204232e-10,4.862333931422899e-11
t191,1.7640080260410095e-10,2.390674669099555e-10,4.566224327425007e-11
t192,1.6399193795186865e-10,2.0355855009934178e-10,3.753257331750495e-11
t193,4.929853152830391e-10,5.532473629349661e-10,1.353935633061172e-10
t194,4.03911151090753e-10,5.222140773969077e-10,1.1027606673602432e-10
t195,2.6943347083675576e-10,7.004439951345997e-10,8.049179076094328e-11
t196,2.535450494063031e-10,4.985679596578744e-10,8.154155877164564e-11
t197,3.2995802055149164e-10,3.6613398988817707e-10,5.99241029107258e-11
t198,3.5943634719006743e-10,4.040273337155905e-10,1.0151721447082431e-10
t199,4.044974071548791e-10,5.755544519512415e-10,9.767946435651079e-11
t200,4.879305433578482e-10,4.203794354511036e-10,4.865941009703158e-11
t201,4.6467725135740343e-10,5.275093612951751e-10,2.2246524707946237e-11
t202,5.308433332161725e-10,3.99476861819664e-10,-1.7687607569058347e-11
t203,6.335660090306573e-10,4.601593110647814e-10,7.267937001150471e-11
t204,5.557506919503483e-10,4.927986666251172e-10,8.649724845229922e-11
t205,5.263722984535829e-10,3.9853333332538483e-10,9.185825776450644e-11
t206,4.795422983100411e-10,3.7460727176222087e-10,9.734739500671192e-11
t207,4.2854796875443597e-10,4.5716417453477123e-10,1.1441876682549671e-10
t208,6.038656582345111e-10,7.897253160763744e-10,1.410597824737356e-10
t209,1.018877192658634e-9,1.1263328222928581e-9,1.998674955985665e-10
t210,2.8037331156867714e-9,1.8839532823841517e-9,2.4564069185690474e-10
t211,6.885998795522186e-9,2.5845391592962813e-9,3.119797879177744e-10
t212,1.1953578923028764e-9,1.4776915554718438e-9,7.052655168657924e-10
t213,2.0755179188998268e-9,1.1289893014460352e-9,2.5120793485458244e-9
t214,1.597023739290472e-9,1.3173917156454782e-9,1.0737475585920588e-9
t215,8.178370160351488e-10,7.580959502412463e-10,4.472457555435753e-10
t216,6.43523388050753e-10,8.748111192300652e-10,1.5620199717134253e-10
t217,6.468579658262993e-10,5.296677173370526e-10,9.230635449805591e-11
t218,5.407800516883162e-10,5.331830972385858e-10,6.67602364967022e-11
t219,3.8790954656179966e-10,6.927603107988648e-10,6.452698469520074e-11
t220,3.133889768181923e-10,4.822439618107816e-10,4.944244269397661e-11
t221,2.972158455335871e-10,4.691404246248732e-10,6.393359703635398e-11
t222,3.4096947075309886e-10,5.669087861324414e-10,1.0538062945129575e-10
t223,4.5624582401778373e-10,4.3023443554955965e-10,5.0444886068711695e-11
t224,5.152374752050259e-10,4.0613833142544303e-10,1.2536264438526856e-11
t225,5.551483937983659e-10,4.363770327589004e-10,4.4276807865302866e-11
t226,5.371207143081268e-10,2.9283768677596124e-10,1.187134392338075e-10
t227,5.733404475894884e-10,4.076659185859251e-10,2.652146582502502e-11
t228,6.806052802789782e-10,4.312679353297605e-10,2.8366599795778296e-11
t229,6.263278278567366e-10,4.1630175286138104e-10,6.148080310791151e-11
t230,5.979767769583201e-10,5.067162134321421e-10,7.16760791355466e-11
t231,4.759241019575719e-10,3.933250219119787e-10,8.146033912259324e-11
t232,4.98367867166513e-10,4.1818349367494553e-10,1.0817391058460238e-10
t233,5.37054418431685e-10,4.690618947535635e-10,1.998049295759487e-10
t234,5.6555620638551e-10,1.198840620492971e-9,3.8520314409447445e-10
t235,9.950143503161832e-10,1.779690199012515e-9,4.995199691465555e-9
t236,2.6687469461676062e-9,2.043207329732673e-9,0.5380774166918757
t237,1.8493655800099334e-9,1.4232505685176651e-9,1.996388092658486e-9
t238,1.6150357361930775e-9,1.6108104831083495e-9,8.700895998801363e-10
t239,8.829653870347706e-10,1.163800783626934e-9,4.156108499466758e-10
t240,5.47023902311917e-10,8.672127054944438e-10,1.6769239546965e-10
t241,3.3639601118553713e-10,5.682303488982888e-10,1.0577801088567873e-10
t242,2.7419358946234266e-10,4.3161945431747446e-10,9.07217093612552e-11
t243,2.7538133099932275e-10,3.7980920802557835e-10,7.574453206896067e-11
t244,2.84452621056927e-10,3.6781012070544544e-10,7.299925728698879e-11
t245,2.827545158665412e-10,3.7998512721129655e-10,7.093403691157941e-11
t246,3.8505836618095787e-10,4.354814662918166e-10,9.137417604454639e-11
t247,4.5065774502931095e-10,5.229737728379035e-10,9.468919672599819e-11
t248,4.800851014993311e-10,3.8436983769356987e-10,6.884552208368545e-11
t249,6.092489204180399e-10,4.4113470518094646e-10,-4.7540516570097895e-12
t250,6.05871529338531e-10,5.56901187217474e-10,6.673466516473673e-11
t251,7.873611386534752e-10,6.282793695907459e-10,2.921582051095601e-11
t252,6.245576669222665e-10,5.657119632781551e-10,1.0406516717414691e-10
t253,1.3324470916073142e-9,7.051768162098708e-10,1.4076989519386378e-10
t254,7.555443011326574e-10,3.0282432509966945e-10,2.022870257503565e-10
t255,1.0236473916534412e-9,4.4608913815088965e-10,3.9762486898660557e-10
t256,1.1972784191385896e-9,8.263208485367124e-10,6.794812905981202e-10
t257,1.3103969149504944e-9,1.7650750264139107e-9,1.3711282893525903e-8
t258,3.1275705863936267e-9,8.906001411131992e-9,0.02883040004999571
t259,2.376700777317785,2.3966563581764655,2.4165534953265917
t260,2.5526500647793595,2.396656399485178,4.866448958046646
t261,2.533523014040002,2.0057172894690996,6.648630554283431
t262,0.22467960232063736,1.4603049719147785,1.6871264644271675
t263,4.14053235467242e-9,2.100245090476505e-9,5.793280522827957e-10
t264,8.663728887331961e-10,1.252497916668228e-9,1.5326930009032671e-10
t265,6.291989450667563e-10,1.0603091770339974e-9,1.0369649254341792e-10
t266,4.0368892823377115e-10,7.71813826989543e-10,9.355228963948692e-11
t267,3.114392215530683e-10,7.456289258660397e-10,8.549983054411784e-11
t268,3.088504089053687e-10,5.930123496676648e-10,7.78672562048319e-11
t269,3.014251991173104e-10,5.885987665225265e-10,7.497644815100094e-11
t270,3.438318639367886e-10,5.473099641775237e-10,9.172712803505086e-11
t271,4.39879537186035e-10,4.4641177438741755e-10,9.308958103979547e-11
t272,4.953985731854323e-10,3.9610534272403585e-10,-1.5793052517248844e-11
t273,5.96446144408359e-10,5.043421326439012e-10,7.982229837276451e-11
t274,6.940591287295832e-10,3.1929670536720665e-10,7.293390275174958e-11
t275,7.115246883074183e-10,3.6355765567097694e-10,-9.232691500641631e-11
t276,9.069359818325632e-10,3.9871826055153265e-10,8.509228612274982e-11
t277,1.191148905849286e-9,7.441609907572608e-10,5.630865241823761e-11
t278,1.4007301151372007e-9,9.467022101784609e-10,4.6425684944167924e-11
t279,1.4036170898614322e-9,8.354756296517521e-10,1.4565306903965622e-10
t280,7.916714473543699e-9,1.060350618368841e-9,2.5688926989538645e-10
t281,0.1107870017932898,1.999577500978355e-9,3.757088447856618e-9
t282,0.16067437116135325,0.028829189063254837,0.028830012010951412
t283,0.380829940706874,0.2171798709294591,0.24989242225621533
t284,0.3120023904757639,2.7158240359917552e-8,0.5150310089285772
t285,6.906560725752412e-9,4.3737686973820105e-9,0.0288300016937839
t286,6.003828649272954e-9,1.2828032689116144e-9,9.8589374823996e-10
t287,2.3212206088471137e-9,6.953350676473974e-10,1.6919442427459047e-10
t288,9.00358525591256e-10,5.465210527646061e-10,9.415582637008682e-11
t289,5.9460787844042964e-9,9.066654109403685e-9,1.7528711365430276e-9
t290,5.6831777686608595e-9,7.490997216525857e-9,1.6873841692005225e-9
t291,5.63640797230227e-9,8.355284624051943e-9,1.6740978290736107e-9
t292,5.932957360765399e-9,8.314387041293485e-9,2.938955461189164e-9
t293,6.112468607830075e-9,8.229075705428804e-9,3.3280849538351583e-9
t294,6.039883970941813e-9,8.157075068871742e-9,5.5018142224629545e-9
t295,5.935739142471456e-9,9.289491768803771e-9,1.910745307121829e-9
t296,6.590504929243958e-9,9.587534229394659e-9,2.365164743738928e-9
t297,9.231942026364418e-9,9.022418620316936e-9,1.319609734201009e-9
t298,8.273956208390797e-9,1.0286826930974952e-8,-2.8769029584670485e-11
t299,7.300248092738163e-9,7.164318194962022e-9,9.272827196444538e-10
t300,6.864394787137801e-9,6.635680505655238e-9,8.275827133123166e-10
t301,6.217931988345609e-9,6.656141113889619e-9,7.768746960397959e-10
t302,6.356673428612461e-9,5.897445946145094e-9,7.841043759293538e-10
t303,6.8086269702279055e-9,6.187677064763327e-9,8.182546474281888e-10
t304,6.779369229621936e-9,6.797628534398278e-9,9.078177192679963e-10
t305,7.710576647319596e-9,8.065631754318237e-9,1.1924353551485062e-9
t306,8.742367791796653e-9,1.0300875195751134e-8,1.5166134943113204e-9
t307,8.464414538476838e-9,1.1810075677564361e-8,1.8211103478936148e-9
t308,8.333414461901979e-9,1.2032057101168966e-8,1.7617265784832042e-9
t309,7.840763439628029e-9,1.1646843868972417e-8,1.6546680826671886e-9
t310,6.816749983740535e-9,1.1031174449319338e-8,1.5331897495202016e-9
t311,6.245950528587439e-9,9.639028672575092e-9,1.3895504615962909e-9
t312,5.710385469145953e-9,8.131223767497502e-9,1.250064237734641e-9
t313,5.283571417197581e-9,7.146702228198387e-9,1.1242324692178139e-9
t314,5.211401420790837e-9,7.040276817309027e-9,1.0859447423775726e-9
t315,5.401531117476795e-9,6.5211607203250395e-9,1.0886043903119938e-9
t316,5.532243121347958e-9,5.838381308043062e-9,1.12581888444056e-9
t317,5.720076376759239e-9,5.671725452362804e-9,1.1637771990362676e-9
t318,6.028809017127633e-9,5.909999831552955e-9,1.231754309346939e-9
t319,6.328086558198237e-9,5.863712916104498e-9,1.321238493716098e-9
t320,7.155191637007165e-9,7.134428878957592e-9,1.4126785195513777e-9
t321,5.776060859254559e-9,1.1353062434312286e-8,1.4247264509385148e-9
t322,3.896544157995127e-9,7.226511007079236e-9,1.164889383139347e-9
t323,3.846930214042599e-9,6.269647826802956e-9,9.910680017427527e-10
t324,4.01199699326721e-9,5.983814294017649e-9,9.504975018380538e-10
t325,4.103681387109123e-9,6.212169261545059e-9,9.62715190275957e-10
t326,4.22371993471062e-9,6.498956959716362e-9,9.74827208871787e-10
