line_name,planning_year,case,start_region,dest_region,value
MISW_to_SPPC,2050,full-base-200,MISW,SPPC,14.333333333333334
MISW_to_SPPN,2027,full-base-200,MISW,SPPN,0.0
MISC_to_SPPN,2030,full-base-200,MISC,SPPN,1756.0
MISW_to_SPPN,2030,full-base-200,MISW,SPPN,0.0
MISC_to_SPPN,2027,full-base-200,MISC,SPPN,2.5
MISW_to_SPPN,2035,full-base-200,MISW,SPPN,4.666666666666667
MISW_to_SPPN,2040,full-base-200,MISW,SPPN,0.0
MISC_to_SPPC,2050,full-base-200,MISC,SPPC,982.25
NYCW_to_NYUP,2035,full-base-200,NYCW,NYUP,5.0
RMRG_to_SPPC,2050,full-base-200,RMRG,SPPC,395.6666666666667
PJME_to_PJMW,2027,full-base-200,PJME,PJMW,0.0
RMRG_to_SPPN,2027,full-base-200,RMRG,SPPN,1477.5
SPPS_to_TRE,2030,full-base-200,SPPS,TRE,7282.5
BASN_to_SRSG,2040,full-base-200,BASN,SRSG,0.0
SPPS_to_TRE,2035,full-base-200,SPPS,TRE,101.33333333333333
BASN_to_SRSG,2035,full-base-200,BASN,SRSG,0.0
SPPS_to_TRE,2040,full-base-200,SPPS,TRE,55.0
BASN_to_SRSG,2030,full-base-200,BASN,SRSG,0.0
SPPS_to_TRE,2045,full-base-200,SPPS,TRE,379.0
BASN_to_SRSG,2027,full-base-200,BASN,SRSG,0.5
SPPS_to_TRE,2050,full-base-200,SPPS,TRE,19.666666666666668
BASN_to_SRSG,2045,full-base-200,BASN,SRSG,0.5
SPPS_to_TREW,2027,full-base-200,SPPS,TREW,1507.3333333333333
SPPS_to_TREW,2030,full-base-200,SPPS,TREW,4474.333333333333
BASN_to_RMRG,2045,full-base-200,BASN,RMRG,1534.75
SPPS_to_TREW,2035,full-base-200,SPPS,TREW,913.3333333333334
SPPS_to_TREW,2040,full-base-200,SPPS,TREW,0.0
BASN_to_RMRG,2040,full-base-200,BASN,RMRG,91.5
SPPS_to_TREW,2045,full-base-200,SPPS,TREW,113.5
BASN_to_RMRG,2035,full-base-200,BASN,RMRG,50.666666666666664
SPPS_to_TREW,2050,full-base-200,SPPS,TREW,0.0
SRCA_to_SRCE,2027,full-base-200,SRCA,SRCE,0.0
BASN_to_RMRG,2050,full-base-200,BASN,RMRG,245.75
BASN_to_RMRG,2030,full-base-200,BASN,RMRG,10.666666666666666
SPPS_to_TRE,2027,full-base-200,SPPS,TRE,4.0
SPPS_to_SRSG,2050,full-base-200,SPPS,SRSG,657.0
SPPC_to_SPPS,2050,full-base-200,SPPC,SPPS,22.666666666666668
SPPN_to_SPPS,2027,full-base-200,SPPN,SPPS,8.0
CANO_to_NWPP,2030,full-base-200,CANO,NWPP,0.5
SPPN_to_SPPS,2030,full-base-200,SPPN,SPPS,5135.25
CANO_to_NWPP,2027,full-base-200,CANO,NWPP,0.0
SPPN_to_SPPS,2035,full-base-200,SPPN,SPPS,465.25
SPPN_to_SPPS,2040,full-base-200,SPPN,SPPS,137.66666666666666
CANO_to_CASO,2050,full-base-200,CANO,CASO,0.0
SPPN_to_SPPS,2045,full-base-200,SPPN,SPPS,346.5
BASN_to_SRSG,2050,full-base-200,BASN,SRSG,0.0
CANO_to_CASO,2045,full-base-200,CANO,CASO,0.0
SPPS_to_SRSG,2027,full-base-200,SPPS,SRSG,0.0
CANO_to_CASO,2040,full-base-200,CANO,CASO,0.0
SPPS_to_SRSG,2030,full-base-200,SPPS,SRSG,6653.25
CANO_to_CASO,2035,full-base-200,CANO,CASO,0.0
SPPS_to_SRSG,2035,full-base-200,SPPS,SRSG,1535.25
SPPS_to_SRSG,2040,full-base-200,SPPS,SRSG,2347.5
CANO_to_CASO,2030,full-base-200,CANO,CASO,3.0
SPPS_to_SRSG,2045,full-base-200,SPPS,SRSG,2856.6666666666665
CANO_to_CASO,2027,full-base-200,CANO,CASO,0.0
SPPN_to_SPPS,2050,full-base-200,SPPN,SPPS,45.666666666666664
CANO_to_NWPP,2035,full-base-200,CANO,NWPP,0.0
SRCA_to_SRCE,2030,full-base-200,SRCA,SRCE,1.0
SRCA_to_SRCE,2035,full-base-200,SRCA,SRCE,23.666666666666668
SRCE_to_SRSE,2050,full-base-200,SRCE,SRSE,7.0
SRSG_to_TRE,2027,full-base-200,SRSG,TRE,1.0
BASN_to_CASO,2030,full-base-200,BASN,CASO,0.5
SRSG_to_TRE,2030,full-base-200,SRSG,TRE,1995.25
BASN_to_CASO,2027,full-base-200,BASN,CASO,0.5
SRSG_to_TRE,2035,full-base-200,SRSG,TRE,1008.0
SRSG_to_TRE,2040,full-base-200,SRSG,TRE,1407.5
BASN_to_CANO,2050,full-base-200,BASN,CANO,0.0
SRSG_to_TRE,2045,full-base-200,SRSG,TRE,1454.5
BASN_to_CASO,2035,full-base-200,BASN,CASO,0.0
BASN_to_CANO,2045,full-base-200,BASN,CANO,0.5
TREW_to_TRE,2027,full-base-200,TREW,TRE,0.0
BASN_to_CANO,2040,full-base-200,BASN,CANO,0.0
TREW_to_TRE,2030,full-base-200,TREW,TRE,0.5
TREW_to_TRE,2035,full-base-200,TREW,TRE,0.0
TREW_to_TRE,2040,full-base-200,TREW,TRE,0.0
BASN_to_CANO,2035,full-base-200,BASN,CANO,3.6666666666666665
TREW_to_TRE,2045,full-base-200,TREW,TRE,0.0
TREW_to_TRE,2050,full-base-200,TREW,TRE,0.0
BASN_to_CANO,2030,full-base-200,BASN,CANO,0.5
SRSG_to_TRE,2050,full-base-200,SRSG,TRE,385.75
BASN_to_RMRG,2027,full-base-200,BASN,RMRG,0.0
SRCE_to_SRSE,2045,full-base-200,SRCE,SRSE,5.333333333333333
