model,zone,planning_year,case,unit,value,agg_zone
TEMOA,SRSG,2035,full-base-200-retire,tons,3098860.0,WECC
TEMOA,TRE,2035,full-base-200-retire,tons,9130030.0,TRE
TEMOA,TREW,2035,full-base-200-retire,tons,1365890.0,TRE
TEMOA,BASN,2040,full-base-200-retire,tons,2159910.0,WECC
TEMOA,CANO,2040,full-base-200-retire,tons,2454280.0,CA
TEMOA,CASO,2040,full-base-200-retire,tons,3438170.0,CA
TEMOA,FRCC,2040,full-base-200-retire,tons,6812840.0,SOU
TEMOA,ISNE,2040,full-base-200-retire,tons,10239900.0,NE
TEMOA,MISC,2040,full-base-200-retire,tons,6078700.0,MISO
TEMOA,MISE,2040,full-base-200-retire,tons,3591910.0,MISO
TEMOA,MISS,2040,full-base-200-retire,tons,6063760.0,MISO
TEMOA,MISW,2040,full-base-200-retire,tons,5163540.0,MISO
TEMOA,NWPP,2040,full-base-200-retire,tons,1114130.0,WECC
TEMOA,NYCW,2040,full-base-200-retire,tons,2835730.0,NE
TEMOA,NYUP,2040,full-base-200-retire,tons,2315870.0,NE
TEMOA,PJMC,2040,full-base-200-retire,tons,1664260.0,PJM
TEMOA,PJMD,2040,full-base-200-retire,tons,1552460.0,PJM
TEMOA,PJME,2040,full-base-200-retire,tons,10117100.0,PJM
TEMOA,PJMW,2040,full-base-200-retire,tons,11445400.0,PJM
TEMOA,RMRG,2040,full-base-200-retire,tons,351306.0,WECC
TEMOA,SPPC,2040,full-base-200-retire,tons,301282.0,SPP
TEMOA,SPPN,2040,full-base-200-retire,tons,81023.0,SPP
TEMOA,SPPS,2040,full-base-200-retire,tons,1668980.0,SPP
TEMOA,SRCA,2040,full-base-200-retire,tons,3837100.0,SOU
TEMOA,SRCE,2040,full-base-200-retire,tons,4003560.0,MISO
TEMOA,SRSE,2040,full-base-200-retire,tons,5107940.0,SOU
TEMOA,SRSG,2040,full-base-200-retire,tons,2342350.0,WECC
TEMOA,TRE,2040,full-base-200-retire,tons,6840130.0,TRE
TEMOA,TREW,2040,full-base-200-retire,tons,915201.0,TRE
TEMOA,BASN,2045,full-base-200-retire,tons,1860070.0,WECC
TEMOA,CANO,2045,full-base-200-retire,tons,2564820.0,CA
TEMOA,CASO,2045,full-base-200-retire,tons,3443910.0,CA
TEMOA,FRCC,2045,full-base-200-retire,tons,6898170.0,SOU
TEMOA,ISNE,2045,full-base-200-retire,tons,10661900.0,NE
TEMOA,MISC,2045,full-base-200-retire,tons,5712270.0,MISO
TEMOA,MISE,2045,full-base-200-retire,tons,3423770.0,MISO
TEMOA,MISS,2045,full-base-200-retire,tons,5697470.0,MISO
TEMOA,MISW,2045,full-base-200-retire,tons,4869150.0,MISO
