Region,Resource,Zone,Cluster,AnnualSum
NENG_Rest,NENG_Rest_landbasedwind_class1_advanced_6,1,6,0.012669718198391671
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_1,1,1,996659.5338423004
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_2,1,2,0.0033314897273103816
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_3,1,3,0.03240688706788655
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_4,1,4,0.0039640945359798105
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_5,1,5,0.008834086055243773
NENG_Rest,NENG_Rest_utilitypv_class1_advanced_6,1,6,0.003065209307522764
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_1,2,1,0.005173368744723341
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_2,2,2,0.02087818999698749
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_3,2,3,0.008320237266771799
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_4,2,4,0.014339457771334328
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_5,2,5,0.003546441155977082
NY_Z_A,NY_Z_A_landbasedwind_class1_advanced_6,2,6,0.046481855625447925
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_1,2,1,0.0013692121631527388
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_2,2,2,0.0023603360484358016
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_3,2,3,0.003958656163556835
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_4,2,4,0.002086547482246344
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_5,2,5,0.0018207158374536408
NY_Z_A,NY_Z_A_utilitypv_class1_advanced_6,2,6,0.0010313030018028132
